,stop words
174,deyəsən
175,istər
176,bilər
177,düzdür
178,onun
179,zaman
180,gecə
181,tamamilə
182,ali
183,ağ
184,birbaşa
185,şəksiz
186,aycan
187,dəfə
188,nəinki
189,deyir
190,amper
191,santimetr
192,qədər
193,qismən
194,halbuki
195,ehtimal
196,üçüncüsü
197,eyni
198,rəhbəri
199,dərin
200,sual
201,universitet
202,dəqiq
203,bax
204,birə
205,et
206,ki
207,kaş
208,daha
209,hey
210,doğrusu
211,kandela
212,şübhəsiz
213,qeydə
214,konkret
215,aləm
216,bazar
217,barı
218,iyirmi
219,situasiya
220,tərəf
221,təmin
222,ə
223,madam
224,qısa
225,gedən
226,sözsüz
227,səth
228,bilə
229,nəzdində
230,eləcə
231,arasında
232,ikitərəfli
233,rəhbər
234,faiz
235,halda
236,səbəb
237,ondan
238,mister
239,bah
240,həm
241,tərk
242,oxay
243,cəhənnəmə
244,m
245,açıq
246,yox
247,doğru
248,söylə
249,deyilənə
250,çıx
251,lə
252,yalnız
253,güman
254,üçün
255,əvvəlcə
256,addımlar
257,bizcə
258,vasitəsilə
259,cür
260,məhz
261,olduqca
262,bağlı
263,çirkli
264,missis
265,yanaşı
266,soruş
267,iddia
268,mart
269,görülmüşdür
270,başqa
271,danışıqlar
272,düş
273,yarat
274,hərçənd
275,haycan
276,birdən-birə
277,milyon
278,əlaqədar
279,göy
280,ey
281,həmçinin
282,paho
283,vah
284,metr
285,elə
286,kimsə
287,ideya
288,yaxın
289,rayon
290,qərəz
291,lakin
292,dövr
293,gəlsənə
294,sabah
295,qəfil
296,bəyəm
297,xa-xa-xa
298,daim
299,kq
300,icra
301,layiq
302,yüksəl
303,mövcud
304,vəziyyət
305,milyard
306,və
307,müvafiq
308,arasındakı
309,sağ
310,sanki
311,müddət
312,bütünlüklə
313,sol
314,keçirdiyi
315,yetərli
316,davam
317,reallıqda
318,sərt
319,şərait
320,sıra
321,ertəsi
322,tək
323,çərşənbə
324,deyib
325,üzv
326,yerinə
327,isə
328,zamanı
329,lazım
330,baş
331,axşamı
332,artıq
333,məsələ
334,hətta
335,buna
336,cümlədən
337,əhatə
338,çətin
339,yaxşı
340,məxsus
341,uğrunda
342,bəs
343,t
344,əfsus
345,tfu
346,iyun
347,qız
348,hamı
349,vay-vay
350,sentyabr
351,ləğv
352,ancaq
353,demə
354,doğrudur
355,az
356,ən
357,hansısa
358,əldə
359,əlli
360,sonra
361,afərin
362,barəsində
363,c
364,qalın
365,ağır
366,deyil
367,bərabər
368,hə
369,birincisi
370,adına
371,gör
372,danışıq
373,cənab
374,əslində
375,qırx
376,k
377,dair
378,üzvləri
379,fikir
380,nəticə
381,beləliklə
382,üçüncü
383,uyğun
384,təbii
385,qeyri-adi
386,dm
387,nə
388,on
389,selsi
390,düşüb
391,faranheyt
392,ca
393,xanım
394,vay-vay-vay
395,al
396,əlaqə
397,assistant
398,qeyri
399,baxmayaraq
400,istəyir
401,yumşaq
402,qabaq
403,məlumat
404,hiss
405,la
406,ilə
407,dekabr
408,üstündə
409,olunan
410,qısası
411,olmaqla
412,ötrü
413,də
414,noyabr
415,vaxt
416,gah
417,həlak
418,orada
419,istə
420,fevral
421,bəyan
422,qəfildən
423,biz
424,sana
425,həftə
426,gəlin
427,xas
428,ton
429,haray
430,daxili
431,aşağı
432,kərə
433,mənə
434,bizə
435,tarixli
436,əsl
437,millimetr
438,təkcə
439,savayı
440,barədə
441,nisbətən
442,yüz
443,ortaya
444,oktyabr
445,qapa
446,bil
447,tərz
448,xox
449,sən
450,tünd
451,məsələn
452,gün
453,ay
454,fəqət
455,təəssüf
456,məgər
457,bəh-bəh-bəh
458,əsr
459,il
460,əsas
461,hara
462,edərək
463,yəni
464,iyul
465,cavab
466,görüş
467,a
468,istifadə
469,mənbə
470,report
471,ox
472,gündüz
473,az-maz
474,digər
475,güya
476,cə
477,trilyon
478,rədd
479,heyif
480,doğrudan
481,dünən
482,lirə
483,həll
484,səthi
485,etalon
486,xux
487,eləbil
488,oh
489,dollar
490,arzu
491,çıxıb
492,vay
493,amma
494,alçal
495,siz
496,bəyaz
497,əvvəl
498,əsla
499,düzü
500,lap
501,yüksək
502,xeyli
503,görsənə
504,lazımdır
505,özgə
506,var
507,of
508,idi
509,cümə
510,sanız
511,asan
512,cəhənnəm
513,çünki
514,sahib
515,birinci
516,uzun
517,arzulayır
518,əlbəttə
519,mm
520,bütün
521,optimal
522,anti
523,may
524,hələ
525,bənövşəyi
526,ya
527,görüşdü
528,kişi
529,olmaya
530,çox
531,aman
532,yoxsa
533,sarı
534,günorta
535,altmış
536,yanvar
537,sözləri
538,anidən
539,qoy
540,cəlb
541,təyin
542,de
543,təki
544,səniz
545,olsun
546,aparılır
547,xeyr
548,əvvəla
549,st
550,nəhayət
551,mən
552,bəlkə
553,qatı
554,səksən
555,minillik
556,belə
557,etmək
558,ikincisi
559,hissə
560,haqqında
561,addım
562,hadisə
563,orta
564,bəy
565,kilometr
566,axşam
567,ikinci
568,qırmızı
569,münasibətilə
570,birdən
571,hal
